shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Interborough_Express,-73.89034911117365,40.70713522659236,98,
Interborough_Express,-73.89017806544929,40.708183795256026,99,
Interborough_Express,-73.88984508186137,40.709622201266136,100,
Interborough_Express,-73.88965277763995,40.71035602892088,101,
Interborough_Express,-73.88928552493506,40.711241321277285,102,
Interborough_Express,-73.88901991335092,40.71181351644476,103,
Interborough_Express,-73.88772702509712,40.71458347473203,104,
Interborough_Express,-73.88629253167147,40.717586605891746,105,
Interborough_Express,-73.88601346747973,40.7181722978695,106,
Interborough_Express,-73.88557899412427,40.71926923627715,107,
Interborough_Express,-73.88531392302764,40.72004861425104,108,
Interborough_Express,-73.88512865437426,40.72084898637643,109,
Interborough_Express,-73.88501304405308,40.72145792737711,110,
Interborough_Express,-73.88488998940814,40.72231012032259,111,
